algoritmo,unidade,IDADE,HORAS_PS,HORA_CHEGADA,N_PS_30D,N_PS_90D,DIAS_ULT_PS,N_INT_365D,CD_SEXO,CD_CLINICA,CD_MOTIVO_ATENDIMENTO,CD_PROCEDENCIA,DIA_SEMANA
Floresta,215,0.12914601855406127,0.6513351690567318,0.023036890762431986,0.0620291839940421,0.015636327144398658,0.008059917185003799,0.08377322094682074,0.011042039389897746,0.007124236631977664,0.0,0.003904823202470508,0.004912173132163722
Floresta,385,0.326521289464286,0.36770247397012656,0.04132070598551785,0.09335353790702848,0.01913407889763491,0.06325063914977337,0.06414077107449608,0.008567433052795097,0.009890948423346608,0.0,0.0012809734707956962,0.004837148604199255
Floresta,515,0.16958278010593839,0.26650796236706725,0.09793951922157418,0.09229782828050836,0.025884884432402867,0.07044090140965492,0.16007661050450678,0.025148279084446147,0.025919923217116805,0.0,0.044886910038915956,0.021314401337868456
Floresta,516,0.1358670613791496,0.24086089895422022,0.0646403293003404,0.11200819996149945,0.03735241331774575,0.059942702444819654,0.07806897350967043,0.026871592734272073,0.1369034436901263,0.06562956763535338,0.01216312185503158,0.02969169521777104
Floresta,529,0.17056040287909555,0.49443868673450625,0.034292550632599124,0.06042486717812292,0.015452731728677525,0.056897325022594286,0.11807980775988594,0.00565079239850928,0.01280054987465159,0.0,0.019563461377012745,0.011838824414344662
Floresta,551,0.20897345062394254,0.36279918440390635,0.037908581061032565,0.10123952771156738,0.02804157511069989,0.02886414764105705,0.1282120545314141,0.006652791131205607,0.0630263614888367,0.005506966508310011,0.010815283178083687,0.017960076609944215
Floresta,564,0.15645093581645877,0.4744842868418128,0.020420012524077186,0.08980208901466535,0.01726427384001943,0.07587260252648856,0.09504876115736768,0.03269348695556153,0.010173375441985441,0.0049430373593711335,0.007301073709959166,0.01554606481223298
Floresta,566,0.19477705254051014,0.2860154827916925,0.08347150703082323,0.08102945772777145,0.02568112434347763,0.0585721684116109,0.18077325660820465,0.008011864382112753,0.02060171981558202,0.0,0.029285627724341023,0.031780738623873754
Floresta,732,0.17257093784728295,0.23105063918743646,0.05496021360253384,0.11670136281557464,0.053488260628406635,0.06600819601403289,0.1536103990518524,0.028723566398380217,0.0517891794592538,0.00629278041852068,0.022828513989360068,0.04197595058736533
Floresta,733,0.23585048696747798,0.25687551946939113,0.0820961316839233,0.07315214967201647,0.032577264316596855,0.03801669601720649,0.16079443275746758,0.028788316564817236,0.0436782077656672,0.0,0.013911692736850757,0.03425910204858498
Floresta,774,0.17948395861065308,0.3555165023259832,0.03932470258741259,0.10449143143179772,0.04079694237398132,0.04958795686355653,0.11531703489143377,0.025377068379745606,0.0621545083797953,1.2437124683855477e-07,0.013457205845707101,0.014492563938686968
