estrategia,grupo,n,eventos,auroc,auroc_lo,auroc_hi,oe,oe_lo,oe_hi
continuacao,M 0-17,143695,822,0.6948438486101765,0.6727452342284532,0.7119569251771065,0.9461242350914624,0.8811800620878235,1.02090237980775
continuacao,M 18-39,208338,765,0.7477886179675854,0.730242810442285,0.7678200488063568,0.7094922759299656,0.6605322619468267,0.7630309548809697
continuacao,M 40-59,140196,1119,0.7540827593188215,0.7389120729586444,0.7672260389212867,0.8706449223757841,0.8226755171921111,0.9216769560055218
continuacao,M 60-74,31994,561,0.7628711222517657,0.7427492552976039,0.7818668640568752,0.8749056814083361,0.7979202847868087,0.9478396027761343
continuacao,M 75+,7900,297,0.7078456979811708,0.6758837903687505,0.7344000599989737,0.9392147230974864,0.8447551120688921,1.040390553743096
continuacao,F 0-17,133914,678,0.7239530598487338,0.7039421032639976,0.7437106215718692,0.8959518904889188,0.8363339202526514,0.9582527729131878
continuacao,F 18-39,309945,1467,0.7120170794523764,0.6980945798436192,0.724344292914094,0.8296786089508656,0.7879392926530376,0.8774402760716774
continuacao,F 40-59,191390,1088,0.7130655368525693,0.6956853937680534,0.7301743369988489,0.6791201158289332,0.6374885765926961,0.7220810567425117
continuacao,F 60-74,46826,572,0.7394751117348082,0.7176574436347838,0.7589704259593905,0.7650961957648719,0.7074718171765302,0.8309742179831878
continuacao,F 75+,16850,451,0.7028734919616131,0.6769080654249052,0.7266037876033491,0.879822920548813,0.8080722821198694,0.9559397108567346
